 9792.241 [3-0]Q2e(0.5)   9791.959 [3-0]Q2f(0.5)     40
 9793.850 [3-0]Q1e(1.5)   9793.755 [3-0]Q1f(1.5)    180
 9802.529 [3-0]Q1e(2.5)   9802.183 [3-0]Q1f(2.5)    110
 9815.063 [3-0]Q1e(3.5)   9814.286 [3-0]Q1f(3.5)     38
 9851.125 [3-0]P2e(1.5)   9851.246 [3-0]P2f(1.5)     75
 9874.766 [3-0]P1e(2.5)   9874.920 [3-0]P1f(2.5)    240
 9897.438 [3-0]P2e(2.5)   9897.481 [3-0]P2f(2.5)     85
 9917.248 [3-0]P1e(3.5)   9917.533 [3-0]P1f(3.5)    270
 9944.391 [9-5]R1e(3.5)   9944.357 [9-5]R1f(3.5)     90
 9944.924 [9-5]R1e(4.5)   9944.931 [9-5]R1f(4.5)     45
 9948.024 [3-0]P2e(3.5)   9947.958 [3-0]P2f(3.5)     80
 9948.128 [9-5]R2e(3.5)   9948.271 [9-5]R2f(3.5)     20
 9949.262 [9-5]R1e(2.5)   9949.213 [9-5]R1f(2.5)    140
 9950.419 [9-5]R2e(2.5)   9950.532 [9-5]R2f(2.5)     40
 9951.066 [9-5]R1e(5.5)   9951.139 [9-5]R1f(5.5)     24
 9952.349 [9-5]R2e(4.5)   9952.499 [9-5]R2f(4.5)     11
 9959.325 [9-5]R1e(1.5)   9959.283 [9-5]R1f(1.5)    105
 9959.354 [9-5]R2e(1.5)   9959.414 [9-5]R2f(1.5)     80
 9963.007 [9-5]R2e(5.5)   9963.139 [9-5]R2f(5.5)      5
 9963.008 [9-5]R1e(6.5)   9963.171 [9-5]R1f(6.5)      7
 9964.446 [3-0]P1e(4.5)   9964.879 [3-0]P1f(4.5)    180
 9975.085 [9-5]R2e(0.5)   9975.077 [9-5]R2f(0.5)     50
10002.834 [3-0]P2e(4.5)  10002.644 [3-0]P2f(4.5)     40
10014.181 [9-5]Q2e(0.5)  10013.986 [9-5]Q2f(0.5)     35
10015.577 [9-5]Q1e(1.5)  10015.520 [9-5]Q1f(1.5)    310
10016.437 [3-0]P1e(5.5)  10017.029 [3-0]P1f(5.5)     80
10024.250 [9-5]Q2e(1.5)  10023.915 [9-5]Q2f(1.5)     15
10028.302 [9-5]Q1e(2.5)  10028.092 [9-5]Q1f(2.5)    116
10046.510 [9-5]Q1e(3.5)  10046.024 [9-5]Q1f(3.5)     50
10063.404 [9-5]P2e(1.5)  10063.536 [9-5]P2f(1.5)     76
10085.168 [9-5]P1e(2.5)  10085.281 [9-5]P1f(2.5)    250
10106.322 [9-5]P2e(2.5)  10106.424 [9-5]P2f(2.5)    100
10126.667 [9-5]P1e(3.5)  10126.895 [9-5]P1f(3.5)    280
10151.884 [4-1]R1e(5.5)  10151.688 [4-1]R1f(5.5)     19
10155.521 [4-1]R2e(4.5)  10155.703 [4-1]R2f(4.5)     10
10155.738 [9-5]P2e(3.5)  10155.774 [9-5]P2f(3.5)     85
10161.366 [4-1]R1e(4.5)  10161.168 [4-1]R1f(4.5)     56
10167.091 [4-1]R2e(3.5)  10167.233 [4-1]R2f(3.5)     20
10174.301 [9-5]P1e(4.5)  10174.677 [9-5]P1f(4.5)    220
10174.989 [4-1]R1e(3.5)  10174.806 [4-1]R1f(3.5)    110
10183.784 [4-1]R2e(2.5)  10183.869 [4-1]R2f(2.5)     48
10192.573 [4-1]R1e(2.5)  10192.424 [4-1]R1f(2.5)    245
10205.838 [4-1]R2e(1.5)  10205.849 [4-1]R2f(1.5)     95
10211.609 [9-5]P2e(4.5)  10211.548 [9-5]P2f(4.5)     70
10213.898 [4-1]R1e(1.5)  10213.800 [4-1]R1f(1.5)    300
10228.317 [9-5]P1e(5.5)  10228.867 [9-5]P1f(5.5)    160
10233.497 [4-1]R2e(0.5)  10233.427 [4-1]R2f(0.5)    110
10273.992 [9-5]P2e(5.5)  10273.807 [9-5]P2f(5.5)     40
10287.734 [4-1]Q2e(0.5)  10287.439 [4-1]Q2f(0.5)     85
10288.931 [9-5]P1e(6.5)  10289.679 [9-5]P1f(6.5)     73
10289.503 [4-1]Q1e(1.5)  10289.407 [4-1]Q1f(1.5)    840
10295.592 [4-1]Q2e(1.5)  10295.097 [4-1]Q2f(1.5)     31
10299.020 [4-1]Q1e(2.5)  10298.668 [4-1]Q1f(2.5)    267
10312.741 [4-1]Q1e(3.5)  10311.946 [4-1]Q1f(3.5)     88
10343.030 [9-5]P2e(6.5)  10342.701 [9-5]P2f(6.5)     29
10350.062 [4-1]P2e(1.5)  10350.193 [4-1]P2f(1.5)    190
10356.354 [9-5]P1e(7.5)  10357.322 [9-5]P1f(7.5)     45
10375.639 [4-1]P1e(2.5)  10375.797 [4-1]P1f(2.5)    600
10399.361 [4-1]P2e(2.5)  10399.413 [4-1]P2f(2.5)    232
10421.069 [4-1]P1e(3.5)  10421.366 [4-1]P1f(3.5)    672
10453.396 [4-1]P2e(3.5)  10453.337 [4-1]P2f(3.5)    187
10471.603 [4-1]P1e(4.5)  10472.058 [4-1]P1f(4.5)    480
10512.109 [4-1]P2e(4.5)  10511.918 [4-1]P2f(4.5)    106
10527.346 [4-1]P1e(5.5)  10527.972 [4-1]P1f(5.5)    222
10575.572 [4-1]P2e(5.5)  10575.236 [4-1]P2f(5.5)     47
10588.361 [4-1]P1e(6.5)  10589.169 [4-1]P1f(6.5)     70
10643.922 [4-1]P2e(6.5)  10643.431 [4-1]P2f(6.5)     19
10654.709 [4-1]P1e(7.5)  10655.710 [4-1]P1f(7.5)     33
10686.762 [5-2]R1e(6.5)  10686.608 [5-2]R1f(6.5)     15
10687.277 [5-2]R1e(7.5)  10687.168 [5-2]R1f(7.5)     10
10688.553 [5-2]R2e(6.5)  10688.761 [5-2]R2f(6.5)      8
10689.106 [5-2]R2e(5.5)  10689.313 [5-2]R2f(5.5)      8
10691.088 [5-2]R1e(5.5)  10690.906 [5-2]R1f(5.5)     31
10692.730 [5-2]R1e(8.5)  10692.684 [5-2]R1f(8.5)     10
10693.279 [5-2]R2e(7.5)  10693.469 [5-2]R2f(7.5)      7
10694.995 [5-2]R2e(4.5)  10695.183 [5-2]R2f(4.5)     15
10700.140 [5-2]R1e(4.5)  10699.949 [5-2]R1f(4.5)     75
10703.210 [5-2]R1e(9.5)  10703.243 [5-2]R1f(9.5)      6
10703.268 [5-2]R2e(8.5)  10703.425 [5-2]R2f(8.5)      5
10706.334 [5-2]R2e(3.5)  10706.484 [5-2]R2f(3.5)     41
10713.770 [5-2]R1e(3.5)  10713.590 [5-2]R1f(3.5)    190
10723.305 [5-2]R2e(2.5)  10723.396 [5-2]R2f(2.5)     90
10731.787 [5-2]R1e(2.5)  10731.640 [5-2]R1f(2.5)    380
10746.145 [5-2]R2e(1.5)  10746.159 [5-2]R2f(1.5)    160
10753.969 [5-2]R1e(1.5)  10753.871 [5-2]R1f(1.5)    480
10775.095 [5-2]R2e(0.5)  10775.024 [5-2]R2f(0.5)    155
10832.412 [5-2]Q2e(0.5)  10832.103 [5-2]Q2f(0.5)    126
10834.338 [5-2]Q1e(1.5)  10834.241 [5-2]Q1f(1.5)   1200
10841.042 [5-2]Q2e(1.5)  10840.520 [5-2]Q2f(1.5)     40
10844.871 [5-2]Q1e(2.5)  10844.514 [5-2]Q1f(2.5)    430
10860.034 [5-2]Q1e(3.5)  10859.222 [5-2]Q1f(3.5)    130
