17013.22  ?               79  
17050.01  ?               11 h
17050.59  ?               11 h
17057.13  ?              130 j
17164.46  ?               10 h
17165.50  ?               10 h
17214.82  ?               45  
17215.56  ?               86  
17274.60  ?               77 h
17275.76  ?               85 h
17333.67  ?               29  
17354.60  ?               40 h
17356.04  ?               35 h
17406.30  ?               20 l
17452.49  ?               19 h
17454.24  ?               19 h
17483.21  ?               23 h
17483.85  ?               27 h
17693.18  ?               23  
17843.72  ?               12 h
17844.51  ?               12 h
17919.93  ?               10  
19638.77  ?               16  
19649.49  ?               16  
19807.15  ?               21  
19811.52  ?               29  
19817.89  ?               18  
19824.94  ?               16  
20281.71  ?               15  
20332.23  ?               18 h
20333.87  ?               15 h
20541.67  ?               59  
20739.73  ?               38  
20740.55  ?               38  
20815.19  ?               41 h
20816.48  ?               44 h
20853.43  ?               28  
20873.40  ?               26  
20917.48  ?               28  
20919.12  ?               31  
21292.01  ?               36  
21686.92  ?               47  
21704.93  ?               29  
21745.29  ?               42  
21793.02  ?               31  
